ID,condition,numberYawns,trial,secs
Axl,Pro-Social,0,2,300
Smith,Pro-Social,0,2,300
Dice,Pro-Social,0,1,300
Tweed,Pro-Social,0,2,300
Plum,Pro-Social,0,1,300
Jack,Pro-Social,0,1,300
Kohi,Pro-Social,0,2,300
Manny,Pro-Social,0,2,300
Meg,Pro-Social,1,1,300
Ruby,Pro-Social,1,1,300
Scotty,Pro-Social,2,1,300
Opie,Pro-Social,1,1,300
Richie,Pro-Social,0,1,300
Poppy,Pro-Social,0,2,300
Babe,Pro-Social,0,2,300
Jett,Pro-Social,1,1,300
Skater,Pro-Social,0,2,300
Uisce,Pro-Social,1,2,300
Ruby2,Pro-Social,3,2,300
Sam,Pro-Social,0,1,300
Camilla,Pro-Social,2,1,300
George,Pro-Social,1,2,300
Millie,Pro-Social,3,1,300
Bella,Pro-Social,1,2,300
Crash,Pro-Social,1,1,300
Doug,Pro-Social,0,2,300
Ivy,Pro-Social,1,2,300
Kobe,Pro-Social,1,2,300
Max,Pro-Social,1,1,300
Pales,Pro-Social,2,1,300
Honey,Pro-Social,0,2,300
Fern,Pro-Social,1,2,300
Axl,Anti-Social,2,1,300
Smith,Anti-Social,0,1,300
Dice,Anti-Social,0,2,300
Tweed,Anti-Social,0,1,300
Plum,Anti-Social,3,2,300
Jack,Anti-Social,2,2,300
Kohi,Anti-Social,0,1,300
Manny,Anti-Social,1,1,300
Meg,Anti-Social,0,2,300
Ruby,Anti-Social,1,2,300
Scotty,Anti-Social,3,2,300
Opie,Anti-Social,0,2,300
Richie,Anti-Social,0,2,300
Poppy,Anti-Social,0,1,300
Babe,Anti-Social,0,1,300
Jett,Anti-Social,1,2,300
Skater,Anti-Social,1,1,300
Uisce,Anti-Social,2,1,300
Ruby2,Anti-Social,1,1,300
Sam,Anti-Social,0,2,300
Camilla,Anti-Social,0,2,300
George,Anti-Social,1,1,300
Millie,Anti-Social,1,2,300
Bella,Anti-Social,3,1,300
Crash,Anti-Social,1,2,300
Doug,Anti-Social,3,1,300
Ivy,Anti-Social,0,1,300
Kobe,Anti-Social,1,1,300
Max,Anti-Social,2,2,300
Pales,Anti-Social,1,2,300
Honey,Anti-Social,2,1,300
Fern,Anti-Social,0,1,300
